Medallion,HackLicense,VendorID,RateCode,StoreAndFwdFlag,PickupDateTime,DropoffDateTime,PassengerCount,TripTimeInSecs,TripDistance,PickupLongitude,PickupLatitude,DropoffLongitude,DropoffLatitude,PaymentType,FareAmount,Surcharge,MtaTax,TollsAmount,TotalAmount,TipAmount,Tipped,TipClass
A532B1493C4DD88C450F6796369EAA6F,EA5886AAB7D491ADCD3B675D0C13A7AE,VTS,1,""""" ",5/9/2013 6:57,5/9/2013 7:13,1,960,3.63,-73.917664,40.743187,-73.973289,40.759567,CRD,14.5,0,0.5,0,15.5,0.5,1,1
784BC08C96E1096012D6A6ACEEDB750D,2C633DB3805D57E195283B96AE3DD2F1,VTS,1,""""" ",6/15/2013 12:31,6/15/2013 12:52,1,1260,4.53,-73.993637,40.727348,-73.957268,40.7831,CRD,18,0,0.5,0,22.1,3.6,1,1
49542EE7F0E08DF3D6FB862E4997AF34,199BB1071E741DFFA8FFC6C94D88ABE0,CMT,1,N  ,10/4/2013 6:49,10/4/2013 7:06,1,1040,4.1,-73.976982,40.775005,-73.984589,40.728867,CRD,15.5,0,0.5,0,20,4,1,1
606E32327AD87CB013D3BD2B31465FE5,8155D9A63F1C1B45288C564B9C5D547D,CMT,1,N  ,2/21/2013 6:29,2/21/2013 6:36,1,403,3.1,-73.94046,40.800327,-73.952484,40.765396,CSH,10.5,0,0.5,0,11,0,0,0
3776448AA239E82B72385CEBACFA9293,E4AE5D25B0FAF18A67AEBB087B1B02AF,CMT,1,N  ,3/15/2013 19:14,3/15/2013 19:23,1,546,1.3,-73.984329,40.765404,-73.988754,40.777782,CRD,8,1,0.5,0,11.4,1.9,1,1
C3FB6119AC1744CBFEA564666D9DD0CB,F9FADA2A0D0867B98F8957C992574727,VTS,1,""""" ",5/30/2013 21:09,5/30/2013 21:24,1,900,3.7,-73.964188,40.797626,-73.973335,40.757324,CSH,14.5,0.5,0.5,0,15.5,0,0,0
7169941F3613589EE3FD32E0B676CF4E,CB4ABBC9316265B6BFEFE8D18D500AC2,VTS,1,""""" ",6/14/2013 23:34,6/14/2013 23:55,1,1260,4.04,-73.977943,40.742035,-73.979118,40.692719,CRD,17,0.5,0.5,0,22.38,4.38,1,1
3D2EEAE75C006EE56FD161CF35AFC431,7EA4EA1A58B736430C3DDD4A87E88085,CMT,1,N  ,2/28/2013 19:51,2/28/2013 19:58,1,391,1.8,-74.007912,40.71183,-73.99057,40.693958,CRD,8,1,0.5,0,9.5,0,0,0
5B094A6DC92FEE41106DE354E83BDD7C,01EC4E5FA227A14228EB6134740B8EE3,CMT,1,N  ,6/28/2013 10:18,6/28/2013 10:24,1,321,0.8,-73.960281,40.770023,-73.966072,40.761833,CRD,5.5,0,0.5,0,7,1,1,1
B750F84FE334584BF34E5DCE4B8B7744,5E73847FEB6A168CA4F1D50BACFABE0C,CMT,1,N  ,8/17/2013 12:15,8/17/2013 12:26,1,622,2,-73.961052,40.763912,-73.976173,40.751507,CRD,9.5,0,0.5,0,12,2,1,1
